Agency,State,DirectSharing,NVLS,2016Detections,2016Hits,2017Detections,2017Hits,2016To2017Detections,2016To2017Hits,AllTimeDetections,AllTimeHits,DataSharingLink,2016HitRatioReport,2017HitRatioReport,2016DetectionReport,2016HitReport,2017DetectionReport,2017HitReport,CombinedDetectionHit Data
Douglasville Police Department,GA,744,Y,Not Provided,Not Provided,"320,516","4,212","320,516*","4,212*",,,https://www.documentcloud.org/documents/4501411-Douglasville-Police-Department-Data-Sharing-Report.html,,,,,https://www.documentcloud.org/documents/4559415-Douglasville-Police-Department-Detection-Report.html,https://www.documentcloud.org/documents/4559414-Douglasville-Police-Department-Hit-Report-2017.html,
Downers Grove Police Department,IL,81,Y,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,,,https://www.documentcloud.org/documents/4559243-Data-Sharing-Report-Downers-Grove-Police.html,,,,,,,
Downey Police Department,CA,779,Y,"24,003,352","2,564","40,019,003","18,525","64,022,355","21,089",,,https://www.documentcloud.org/documents/4618894-Data-Sharing-Report-Downey-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4618893-Downey-Police-Department-Detection-and-Hit.html
Dublin Police Department,OH,624,,"101,336",130,"1,495,703","1,292","1,597,039","1,422",,,https://www.documentcloud.org/documents/4802028-Data-Sharing-Report-Dublin-Police-Department-OH.html,https://www.documentcloud.org/documents/4858003-Dublin-Police-Department-OH-Detection-Hits-2016.html,https://www.documentcloud.org/documents/4858004-Dublin-Police-Department-OH-Detection-Hits-2017.html,,,,,
Dunwoody Police Department,GA,9,Y,"280,962","4,172","525,866","6,966","806,828","11,138",,,https://www.documentcloud.org/documents/4946396-Data-Sharing-Report-Dunwoody-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4946397-Dunwoody-Police-Department-Hit-Ratio-Report-2016.html
Edinburg Police Department,TX,59,Y,Not Provided,Not Provided,"86,965",137,"86,965*",137*,,,http://www.documentcloud.org/documents/4502417-Data-Sharing-Report-Edinburgh-Police-Department.html,,https://www.documentcloud.org/documents/4559398-Edinburgh-Police-Department-HIt-Ratio-Report-2017.html,,,,,
El Dorado County Sheriff's Office,CA,0,,"2,821,708","1,628","2,259,624",491,"5,081,332","2,119",,,https://www.documentcloud.org/documents/4432180-Data-Sharing-Report-El-Dorado-County-Sheriff.html,,,,,,,http://www.documentcloud.org/documents/4439323-El-Dorado-County-Sheriff-Responsive-2016-2017.html
Elgin Police Department,IL,12,Y,"1,346,709","3,394","879,999","1,851","2,226,708","5,245",,,https://www.documentcloud.org/documents/4432181-Data-Sharing-Report-Elgin-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439324-Elgin-Police-Department-Copy-of-Hits-and.html
Elk Grove Police Department,CA,159,Y,"1,363,184",468,"3,693,270","1,372","5,056,454","1,840",,,https://www.documentcloud.org/documents/4432182-Data-Sharing-Report-Elk-Grove-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4639708-Elk-Grove-Police-Department-Hit-Ratio-2016-2017.html
Elmhurst Police Department,IL,79,,"1,415,946",616,"9,445,220","3,122","10,861,166","3,738",,,https://www.documentcloud.org/documents/4559250-Data-Sharing-Report-Elmhurst-Police-Department.html,https://www.documentcloud.org/documents/4560271-Elmhurst-Police-Department-Hit-Ratio-Report-2016.html,https://www.documentcloud.org/documents/4560270-Elmhurst-Police-Department-Hit-Ratio-Report-2017.html,,,,,
Emeryville Police Department,CA,138,,"8,021",4,"220,498",94,"228,519",98,,,https://www.documentcloud.org/documents/4432183-Data-Sharing-Report-Emeryville-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439335-Emeryville-Police-Department-Untitled-Response.html
Evergreen Park Police Department,CO,18,,2,0,Not Provided,Not Provided,2,0,,,http://www.documentcloud.org/documents/4502418-Data-Sharing-Report-Evergreen-Park-Police.html,https://www.documentcloud.org/documents/4783537-Evergreen-Park-Police-Department-Hit-Ratio.html,,,,,,
Fairfield Police Department,CT,26,Y,"185,522",159,"257,585",172,"443,107",331,,,https://www.documentcloud.org/documents/4432184-Data-Sharing-Report-Fairfield-Police-Department.html,,,,,,,http://www.documentcloud.org/documents/4439320-Fairfield-Police-Department-Hit-Ratio-Report.html
Federal Way Police Department,WA,22,Y,"56,937",178,"308,256",862,"365,193","1,040",,,https://www.documentcloud.org/documents/4432185-Data-Sharing-Report-Federal-Way-Police-Department.html,http://www.documentcloud.org/documents/4439325-Federal-Way-Police-Department-Hit-Ratio-Report.html,,,,,,
Foley Police Department,AL,68,Y,n/a,n/a,n/a,n/a,0,0,,,https://www.documentcloud.org/documents/4559256-Data-Sharing-Report-Foley-Police-Department.html,,,,,,,
Folsom Police Department,CA,43,Y,"361,507",311,"4,964,182","1,359","5,325,689","1,670",,,https://www.documentcloud.org/documents/4432186-Data-Sharing-Report-Folsom-Police-Department.html,,,,,,,https://www.documentcloud.org/documents/4639713-Folsom-Police-Department-Hit-Ratio-2016-2017.html
Fort Lauderdale Police Department,FL,34,Y,"3,913,519","142,428","3,816,183","178,408","7,729,702","320,836",,,https://www.documentcloud.org/documents/4432187-Data-Sharing-Report-Fort-Lauderdale-Police.html,http://www.documentcloud.org/documents/4439326-Fort-Lauderdale-Police-Department-Hit-Ratio.html,http://www.documentcloud.org/documents/4439322-Fort-Lauderdale-Police-Department-Hit-Ratio.html,,,,,
