RefNo,Agency,City,County,State,LEAType,JurisdictionType,TechnologyType,Vendor,Summary,PrimaryLink,ArchivedPrimaryLink,DocumentType,Source,DocumentDate,,AdditionalLink1,AdditionalLink2,AdditionalLink3,ArchivedAdditionalLink1,AdditionalArchivedLink2,AdditionalArchivedLink3,,,,,,,
AZPIMA031,U.S. Border Patrol: Tucson Secto,Tucson,Pima County ,AZ,Federal agency,Federal,Mobile Surveillance Vehicle,,"A Mobile Surveillance Capability (MSC) system consists of radar and cameras mounted 25 feet high on a truck, with a display within the cab of the truck U.S. Border Patrol deploys these trucks in the Tucson sector.",https://www.gao.gov/assets/690/688666.pdf,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,Government Report,Government Accountability Office,2017,,,,,,,,,,,,,,
AZPIMA032,U.S. Border Patrol: Tucson Secto,Tucson,Pima County ,AZ,Federal agency,Federal,Unattended Ground Sensors,,"The U.S. Border Patrol's privacy impact assessment describes unattended ground sensors as ""seismic, acoustic, magnetic, and day/night cameras that are used to automatically detect persons or vehicles and transmit activity reports or images via radio frequency or satellite communications."" There are 1,118 installed along the border, of which 600 were deployed to the Tucson and Yuma sectors.",https://www.gao.gov/assets/690/688666.pdf,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,Info on a government website,,17-Nov,,https://www.dhs.gov/sites/default/files/publications/privacy-pia-cbp022-bss-september2018.pdf,,,https://web.archive.org/web/20190907192105/https://www.dhs.gov/sites/default/files/publications/privacy-pia-cbp022-bss-september2018.pdf,,,,,,,,,
AZSCR001,Nogales Police Department,Nogales,Santa Cruz County,AZ,Police,Municipal,Automated License Plate Readers,,The Nogales Police Department has had automated license plate readers since 2009. ,https://www.nogalesinternational.com/news/npd-adds-another-tool-to-its-arsenal/article_c7adb21a-9b1d-5111-b779-12a602a5008a.html,https://web.archive.org/web/*/https://www.nogalesinternational.com/news/npd-adds-another-tool-to-its-arsenal/article_c7adb21a-9b1d-5111-b779-12a602a5008a.html,New Article,Nogales International,4/6/2009,,,,,,,,,,,,,,
AZYMA004,City of Yuma,Yuma,Yuma County,AZ,Police,Municipal,Smart Streetlights,Siemens and anyCOMM,"In 2019, the City of Yuma began a program to install sensor nodes on 10,000 street lights as part of a ""smart city"" initiative. In addition to providing public wi-fi, the nodes can capture audio and video. The nodes also have gunshot detection capabalities. The program will be in completed in 2020. ",https://www.yumaaz.gov/city-administration/smart-city-technology.html,http://web.archive.org/web/20190820225022/https://www.yumaaz.gov/city-administration/smart-city-technology.html,Government Website,City of Yuma,2019,,https://www.kyma.com/news/smart-city-technology-to-hit-yuma/995875827,,,https://web.archive.org/web/20190909220030/https://www.kyma.com/news/smart-city-technology-to-hit-yuma/995875827,,,,,,,,,
AZYMA008,U.S. Border Patrol: Yuma Sector,Yuma,Yuma County,AZ,Federal agency,Federal,Mobile Surveillance Vehicle,,"A Mobile Surveillance Capability (MSC) system consists of radar and cameras mounted 25 feet high on a truck, with a display within the cab of the truck U.S. Border Patrol deploys these trucks in the Yuma sector.",https://www.gao.gov/assets/690/688666.pdf,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,Government Report,Government Accountability Office,2017,,,,,,,,,,,,,,
AZYMA010,U.S. Border Patrol: Yuma Sector,Yuma,Yuma County,AZ,Federal agency,Federal,Unattended Ground Sensors,,"The U.S. Border Patrol's privacy impact assessment describes unattended ground sensors as ""seismic, acoustic, magnetic, and day/night cameras that are used to automatically detect persons or vehicles and transmit activity reports or images via radio frequency or satellite communications."" There are 1,118 installed along the border, of which 600 were deployed to the Tucson and Yuma sectors.",https://www.gao.gov/assets/690/688666.pdf,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,Info on a government website,,17-Nov,,https://www.dhs.gov/sites/default/files/publications/privacy-pia-cbp022-bss-september2018.pdf,,,https://web.archive.org/web/20190907192105/https://www.dhs.gov/sites/default/files/publications/privacy-pia-cbp022-bss-september2018.pdf,,,,,,,,,
AZYMA009,U.S. Customs and Border Protection,Yuma,Yuma County,AZ,Federal agency,Federal,Tethered Aerostat Radar System,,"U.S. Customs and Border Protection ""Tethered Aerostat Radar Systems"" (TARS) are unmanned, unarmed blimps used for surveillance. One of the six aerostats along the U.S.-Mexico border is moored near Yuma, Arizona.",https://www.gao.gov/assets/690/682842.pdf,https://web.archive.org/web/20190906172159/https://www.gao.gov/assets/690/682842.pdf,Government Document,U.S. Government Accountability Office,2017,,"https://www.cbp.gov/frontline/frontline-november-aerostats
",,,https://web.archive.org/web/20190909220906/https://www.cbp.gov/frontline/frontline-november-aerostats,,,,,,,,,
AZYMA005,Yuma County Sheriff's Office,Yuma,Yuma County,AZ,Sheriff,County,Automated License Plate Readers,,"The Yuma County Sheriff's Office began using automated license plate readers in 2008. The purchase was made through Operation Stonegarden, which provides federal funds to local agencies that assist in border security operations.  ",http://www.yumacountyaz.gov/home/showdocument?id=2684,https://web.archive.org/web/20190827204414/http://www.yumacountyaz.gov/home/showdocument?id=2684,Info on a government website,Yuma County,12/15/2008,,,,,,,,,,,,,,
AZYMA002,Yuma County Sheriff's Office,Yuma,Yuma County,AZ,Sheriff,County,Body-worn Cameras,Visual Labs Inc. ,"The Yuma County Sheriff's Office implemented a body-worn camera program in 2017. The cameras, manufactured by Visual Labs Inc., also captured GPS data that the agency uses to identify crime ""hotspots."" ",http://yumacountysheriff.net/news/sheriffs-office-implements-body-worn-cameras-for-patrol-and-detentions/,https://web.archive.org/web/20190909215918/http://yumacountysheriff.net/news/sheriffs-office-implements-body-worn-cameras-for-patrol-and-detentions/,Info on a government website,Yuma County Sheriff's Office,2017,,,,,,,,,,,,,,
AZYMA006,Yuma Police Department,Yuma,Yuma County,AZ,Police,Municipal,Automated License Plate Readers,,The Yuma Police Department began installing automated license plate readers in vehicles in 2009. The system underwent an upgrade in 2016. ,https://www.yumaaz.gov/documents/finance-department/city-of-yumas-annual-budget/COY-Budget-2010-2011.pdf,https://web.archive.org/web/20190827205340/https://www.yumaaz.gov/documents/finance-department/city-of-yumas-annual-budget/COY-Budget-2010-2011.pdf,Info on a government website,City of Yuma Budget Documents,2010,,https://www.yumaaz.gov/documents/finance-department/city-of-yumas-annual-budget/COY-Budget-2016-2017.pdf,,,https://web.archive.org/web/20190827205419/https://www.yumaaz.gov/documents/finance-department/city-of-yumas-annual-budget/COY-Budget-2016-2017.pdf,,,,,,,,,
AZYMA007,Yuma Police Department,Yuma,Yuma County,AZ,Police,Municipal,Body-worn Cameras,,"In 2016, the Yuma Police Department received a $105,000 grant from the U.S. Department of Justice to initiate its body-worn camera program, starting with 70 units for patrol officers. ",https://www.yumasun.com/news/ypd-gets-funds-for-body-cameras/article_27eb2c94-8514-11e6-a5ca-9b2b9786fedb.html,https://web.archive.org/web/20190909215419/https://www.yumasun.com/news/ypd-gets-funds-for-body-cameras/article_27eb2c94-8514-11e6-a5ca-9b2b9786fedb.html,New Article,Yuma Sun,9/27/2016,,"https://www.ziprecruiter.com/c/City-of-Yuma/Job/Law-Enforcement-Program-Supervisor-Body-Worn-Cameras-Program/-in-Yuma-County,AZ?jid=DO0adcb7187df99f99de06df5f280cbac7",http://kyma.dgt.me/ypd-gets-doj-grant-for-body-cameras/ https://web.archive.org/web/20190827204414/http://www.yumacountyaz.gov/home/showdocument?id=2684,,"https://web.archive.org/web/20190827210704/https://www.ziprecruiter.com/c/City-of-Yuma/Job/Law-Enforcement-Program-Supervisor-Body-Worn-Cameras-Program/-in-Yuma-County,AZ?jid=DO0adcb7187df99f99de06df5f280cbac7 ",https://web.archive.org/web/20190827204414/http://www.yumacountyaz.gov/home/showdocument?id=2684,https://web.archive.org/web/20190909215419/https://www.yumasun.com/news/ypd-gets-funds-for-body-cameras/article_27eb2c94-8514-11e6-a5ca-9b2b9786fedb.html,,,,,,,
CAIMP011,Calexico Police Department,Calexico,Imperial County,CA,Police,Municipal,Automated License Plate Readers,Convergint Technologies,"Of the 82 cameras in Calexico's citywide police network, nine are automated license plate readers. ",http://www.calexico.ca.gov/vertical/sites/%7B342ED706-1EBB-4FDE-BD1E-9543BAD44C09%7D/uploads/Council_Agenda_09-20-2017_-_Item_19.pdf,https://web.archive.org/web/20190906200011/http://www.calexico.ca.gov/vertical/sites/%7B342ED706-1EBB-4FDE-BD1E-9543BAD44C09%7D/uploads/Council_Agenda_09-20-2017_-_Item_19.pdf,,Calexico Police Department,9/20/2017,,,,,,,,,,,,,,
CAIMP004,Calexico Police Department,Calexico,Imperial County,CA,Police,Municipal,Body-worn Cameras,,The Calexico Police Department adopted body-worn cameras in 2016. The department purchased 40 units for its officers. ,http://kyma.dgt.me/calexico-police-start-using-body-cams/,http://web.archive.org/web/20190820224519/http://kyma.dgt.me/calexico-police-start-using-body-cams/,New Article,KYMA,6/30/2016,,,,,,,,,,,,,,
CAIMP012,Calexico Police Department,Calexico,Imperial County,CA,Police,Municipal,Camera Network,Convergint Technologies,"In 2015, the Calexico Police Department began building a citywide network of 82 surveillance cameras. ",http://www.calexico.ca.gov/vertical/sites/%7B342ED706-1EBB-4FDE-BD1E-9543BAD44C09%7D/uploads/Council_Agenda_09-20-2017_-_Item_19.pdf,https://web.archive.org/web/20190906200011/http://www.calexico.ca.gov/vertical/sites/%7B342ED706-1EBB-4FDE-BD1E-9543BAD44C09%7D/uploads/Council_Agenda_09-20-2017_-_Item_19.pdf,,Calexico Police Department,9/20/2017,,,,,,,,,,,,,,
CAIMP009,El Centro Police Department,El Centro,Imperial County,CA,Police,Municipal,Automated License Plate Readers,,The El Centro Police Department uses automated license plate readers and retains the data for two years. ,http://www.cityofelcentro.org/police/userfiles/El%20Centro%20PD%20ALPR%20Policy.pdf,https://web.archive.org/web/20190827200335/http://www.cityofelcentro.org/police/userfiles/El%20Centro%20PD%20ALPR%20Policy.pdf,Info on a government website,City of El Centro,6/7/2019,,,,,,,,,,,,,,
CAIMP005,El Centro Police Department,El Centro,Imperial County,CA,Police,Municipal,Body-worn Cameras,Vievu,The El Centro Police Department has used body-worn cameras since 2013. ,http://www.elcentrochamber.org/news/details/el-centro-police-outfitted-with-body-cameras,http://web.archive.org/web/20190820224522/http://www.elcentrochamber.org/news/details/el-centro-police-outfitted-with-body-cameras,New Article,El Centro Chamber of Conference ,8/14/2014,,,,,,,,,,,,,,
CAIMP007,Imperial County Sheriff's Office,El Centro,Imperial County,CA,Sheriff,County,Automated License Plate Readers,,The Imperial County Sheriff's Office uses automated license plate readers. ALPR data is stored for two years. ,http://www.icso.org/assets/media/upload/files/pdf/ICSO_ALPR_POLICY.pdf,http://web.archive.org/web/20190820224528/http://www.icso.org/assets/media/upload/files/pdf/ICSO_ALPR_POLICY.pdf,Policy,Imperial County Sheriffs Office ,12/6/2016,,,,,,,,,,,,,,
CAIMP001,Imperial County Sheriff's Office,El Centro,Imperial County,CA,Sheriff,County,Body-worn Cameras,,"The Imperial County Sheriff's Office purchased 100 body-worn cameras for $74,770. ",https://www.kyma.com/news/sheriffs-office-uses-body-worn-cameras-to-fight-crime/279871731,http://web.archive.org/web/20190820224508/https://www.kyma.com/news/sheriffs-office-uses-body-worn-cameras-to-fight-crime/279871731,New Article,KYMA,1/19/2017,,,,,,,,,,,,,,
CAIMP014,Imperial County Sheriff's Office,El Centro,Imperial County,CA,Sheriff,County,Drones,,The Imperial County Sheriff's Office launched its drone program in the summer of 2019. ,https://www.muckrock.com/foi/imperial-county-3040/california-public-records-request-unmanned-aeriel-vehicles-imperial-county-sheriffs-office-69032/#comms,https://web.archive.org/web/20190909221500/https://www.muckrock.com/foi/imperial-county-3040/california-public-records-request-unmanned-aeriel-vehicles-imperial-county-sheriffs-office-69032/,Public Records,Aaron Swartz Day Surveillance Project,6/27/2019,,,,,,,,,,,,,,
CAIMP010,U.S. Border Patrol: El Centro Sector,El Centro,Imperial County,CA,Federal agency,Federal,Mobile Surveillance Vehicle,,"A Mobile Surveillance Capability (MSC) system consists of radar and cameras mounted 25 feet high on a truck, with a display within the cab of the truck U.S. Border Patrol deploys these trucks in the El Centro sector.",https://www.gao.gov/assets/690/688666.pdf,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,Government Report,Government Accountability Office,2017,,,,,,,,,,,,,,
CAIMP013,U.S. Border Patrol: El Centro Sector,El Centro,Imperial County,CA,Federal agency,Federal,Remote Video Surveillance Systems,,"A Remote Video Surveillance System (RVSS) system consists of daylight and infrared cameras mounted on poles, towers, or buildings. A 2018 U.S. Patrol presentation indicates that there are 66 RVSS located in the El Centro sector. ",https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,https://www.documentcloud.org/documents/6162054-Final-Draft-Industry-Day-Briefing-Charts-IFT.html,Government Document,U.S. Border Patrol,10/15/2018,,https://www.gao.gov/assets/690/688666.pdf,,,http://web.archive.org/web/20190907015033/https://www.gao.gov/assets/690/688666.pdf,,,,,,,,,
CASD016,California State University San Marcos Police Department,San Marcos,San Diego County,CA,Police,University,Automated License Plate Readers,,"California State University, San Marcos is using automated license plate readers to enforce parking permits.",https://csusmchronicle.com/18279/opinion/new-parking-system-follows-with-questions-and-concerns/,http://web.archive.org/web/20190820224836/https://csusmchronicle.com/18279/opinion/new-parking-system-follows-with-questions-and-concerns/,New Article,The Cougar Chronicle,10/13/2018,,,,,,,,,,,,,,
CASD017,California State University San Marcos Police Department,San Marcos,San Diego County,CA,Police,University,Body-worn Cameras,Axon,California State University San Marcos Police Department issues Axon body-worn cameras to all uniformed officers. ,https://www.csusm.edu/police/bodyworncameras/body.worn.camera.faq.pdf,http://web.archive.org/web/20190820224838/https://www.csusm.edu/police/bodyworncameras/body.worn.camera.faq.pdf,Policy/procedure document,California State University Police Department,,Unknown,,,,,,,,,,,,,
CASD004,Carlsbad Police Department,Carlsbad,San Diego County,CA,Police,Municipal,Automated License Plate Readers,,"As of 2018, the Carlsbad Police Department had installed 51 automated license plate readers at 14 intersections. The agency planned to install 35 more ALPR systems in 2019.  ",https://www.sandiegouniontribune.com/communities/north-county/sd-no-plate-readers-20180821-story.html,http://web.archive.org/web/20190820224809/https://www.sandiegouniontribune.com/communities/north-county/sd-no-plate-readers-20180821-story.html,New Article,San Diego Union Tribune,8/21/2018,,http://www.carlsbadca.gov/civicax/filebank/blobdload.aspx?BlobID=30424,,,https://web.archive.org/web/20190904171305/http://www.carlsbadca.gov/civicax/filebank/blobdload.aspx?BlobID=30424,,,,,,,,,
CASD025,Carlsbad Police Department,Carlsbad,San Diego County,CA,Police,Municipal,Body-worn Cameras,,The Carlsbad Police Department launched its body-worn camera program in 2016. ,http://www.carlsbadca.gov/civicax/filebank/blobdload.aspx?BlobID=31239,http://web.archive.org/web/20190820224849/https://www.carlsbadca.gov/civicax/filebank/blobdload.aspx?BlobID=31239,Policy/procedure document,City of Carlsbad California Website,8/1/2016,,https://www.sandiegouniontribune.com/communities/north-county/sd-no-body-cameras-20161031-story.html,,,https://web.archive.org/web/20190909220829/https://www.sandiegouniontribune.com/communities/north-county/sd-no-body-cameras-20161031-story.html,,,,,,,,,
CASD039,Carlsbad Police Department,Carlsbad,San Diego County,CA,Police,Municipal,Ring/Neighbors,Ring,The Carlsbad Police Department is able to request footage from residents' doorbell cameras through an agreement with Ring and its Neighbors app. ,https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,http://web.archive.org/web/20190820225028/https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,New Article,Voice of San Diego,7/26/2019,,,,,,,,,,,,,,
CASD003,Chula Vista Police Department,Chula Vista,San Diego County,CA,Police,Municipal,Automated License Plate Readers,,The Chula Vista Police Department uses automated license plate readers. Data is maintained for one year. ,http://www.chulavistaca.gov/home/showdocument?id=12093,http://web.archive.org/web/20190820224807/http://www.chulavistaca.gov/home/showdocument?id=12093,Policy/procedure document,Chula Vista Police Department,10/8/2015,,,,,,,,,,,,,,
CASD100,Chula Vista Police Department,Chula Vista,San Diego County,CA,Police,Municipal,Camera Network,,The Chula Vista Police Department is able to access cameras at public parks and traffic cameras at several main intersections.,https://www.chulavistaca.gov/Home/Components/News/News/1836/8221?arch=1,https://web.archive.org/web/*/https://www.chulavistaca.gov/Home/Components/News/News/1836/8221?arch=1,,,,,,,,,,,,,,,,,
CASD050,Chula Vista Police Department,Chula Vista,San Diego County,CA,Police,Municipal,Drones,DJI,"The Chula Vista Police Department deploys four types of drones: the DJI Inspire 1, the DJI Mavic Pro, the DJI Phantom 4, and the DJI Matrice M200. In 2019, City of Chula Vista intends to expand its drone program to nine fire stations, where drone operators can use the technology to photograph crime scenes and ""locate homeless encampments in difficult terrains.""",https://www.chulavistaca.gov/departments/police-department/programs/uas-drone-program/our-drone-s,https://web.archive.org/web/20190303101902/https://www.chulavistaca.gov/departments/police-department/programs/uas-drone-program/our-drone-s,Other ,Chula Vista Police Department,,,,,,,,,,,,,,,
CASD040,Chula Vista Police Department,Chula Vista,San Diego County,CA,Police,Municipal,Ring/Neighbors,Ring,The Chula Vista Police Department is able to request footage from residents' doorbell cameras through an agreement with Ring and its Neighbors app. ,https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,http://web.archive.org/web/20190820225028/https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,New Article,Voice of San Diego,7/25/2019,,,,,,,,,,,,,,
CASD010,Coronado Police Department,Coronado,San Diego County,CA,Police,Municipal,Automated License Plate Readers,,The Coronado Police Department has used automated license plate readers since at least 2016. ALPR data is stored for one year. ,https://www.coronado.ca.us/UserFiles/Servers/Server_746006/File/government/departments/Police%20Services/LPR.pdf,http://web.archive.org/web/20190820224819/https://www.coronado.ca.us/UserFiles/Servers/Server_746006/File/government/departments/Police%20Services/LPR.pdf,Policy/procedure document,Coronado Police Department ,3/24/2016,,,,,,,,,,,,,,
CASD061,Coronado Police Department,Coronado,San Diego County,CA,Police,Municipal,Body-worn Cameras,,"In 2012, the Coronado Police Department became the first law enforcement agency in San Diego County to adopt body-worn cameras. ",https://www.sandiegouniontribune.com/sdut-mini-cameras-cops-wear-new-crime-fighting-tool-2012jan01-story.html,https://web.archive.org/web/20190909220056/https://www.sandiegouniontribune.com/sdut-mini-cameras-cops-wear-new-crime-fighting-tool-2012jan01-story.html,New Article,San Diego Union Tribune,1/1/2012,,,,,,,,,,,,,,
CASD046,El Cajon Police Department,El Cajon,San Diego County,CA,Police,Municipal,Automated License Plate Readers,,"The El Cajon Police Department participates in an automated license plate reader program operated by the Automated Regional Justice Information System, a division of the San Diego Association of Governments. ",http://www.arjis.org/RegionalPolicies/ARJIS%20LPR%20AUP%20-%20Approved%20-%20Rev150213.pdf,http://web.archive.org/web/20190820224841/http://www.arjis.org/RegionalPolicies/ARJIS%20LPR%20AUP%20-%20Approved%20-%20Rev150213.pdf,Policy/ Procedure,ARJIS,,,https://cdn.muckrock.com/foia_files/2018/08/02/MAASS_PRA_-_POLICE_INFO.pdf,,,https://web.archive.org/web/20190904175856/https://cdn.muckrock.com/foia_files/2018/08/02/MAASS_PRA_-_POLICE_INFO.pdf,,,,,,,,,
CASD006,El Cajon Police Department,El Cajon,San Diego County,CA,Police,Municipal,Body-worn Cameras,Axon,"The El Cajon Police Department launched its body-worn camera program in 2016 with the purchase of 87 Axon cameras for about $160,000.  ",https://www.sandiegouniontribune.com/news/public-safety/sd-me-body-cameras-20161215-story.html,http://web.archive.org/web/20190820224813/https://www.sandiegouniontribune.com/news/public-safety/sd-me-body-cameras-20161215-story.html,New Article,San Diego Union Tribune,12/19/2016,,,,,,,,,,,,,,
CASD048,Escondido Police Department,Escondido,San Diego County,CA,Police,Municipal,Automated License Plate Readers,,The Escondido Police Department used both fixed and mobile automated license plate readers. ,https://police.escondido.org/Data/Sites/4/media/pdfs/1-62.pdf,http://web.archive.org/web/20190820225048/https://police.escondido.org/Data/Sites/4/media/pdfs/1-62.pdf,Policy/Procedure,Escondido Police Department ,6/11/2019,,,,,,,,,,,,,,
CASD068,Escondido Police Department,Escondido,San Diego County,CA,Police,Municipal,Body-worn Cameras,Axon,"The Escondido Police Department has body-worn cameras since 2010.  In June 2019, the Escondido City Council approved a 3-year, $405,000 contract with Axon for 166 cameras.",https://www.documentcloud.org/documents/6383645-escondido06-05-19CCAgendaPacket.html#document/p73,https://www.documentcloud.org/documents/6383645-escondido06-05-19CCAgendaPacket.html#document/p73,Public Records,Escondido City Council Minutes,6/5/2019,,https://www.documentcloud.org/documents/6383724-Escondido.html ,https://www.voiceofsandiego.org/police-tag/where-every-local-police-agency-stands-on-body-cameras-in-one-map/,,https://www.documentcloud.org/documents/6383724-Escondido.html,https://web.archive.org/web/20190909221600/https://www.voiceofsandiego.org/police-tag/where-every-local-police-agency-stands-on-body-cameras-in-one-map/,,,,,,,,
CASD047,Escondido Police Department,Escondido,San Diego County,CA,Police,Municipal,Drones,DJI,"The Escondido Police Department established it drone program 2017 and has flown 117 missions using three DJI drones as of June 2019. In 2019, Escondido Police Department received a $41,670 grant to purchase a  larger DJI Matrice 210 drone, which is equipped 30-power zoom lens and FLIR thermal imaging. ",https://www.thecoastnews.com/escondido-to-consider-police-drone-immigration-enforcement-federal-dollars/,https://web.archive.org/web/20190825230615/https://www.thecoastnews.com/escondido-to-consider-police-drone-immigration-enforcement-federal-dollars/,New Article,The Coast News ,7/4/2019,,https://www.escondido.org/Data/Sites/1/media/agendas/Council/2019/06-05-19CCAgendaPacket.pdf,,,https://web.archive.org/web/20190905164042/https://www.escondido.org/Data/Sites/1/media/agendas/Council/2019/06-05-19CCAgendaPacket.pdf,,,,,,,,,
CASD062,La Mesa Police Department,La Mesa,San Diego County,CA,Police,Municipal,Automated License Plate Readers,Vigilant Solutions,"The La Mesa Police Department has used Vigilant Solutions automated license plate readers since 2017. Before that, LMPD used ALPR systems by 3M. ",https://www.muckrock.com/foi/la-mesa-62/2018-vigilant-data-sharing-information-la-mesa-ca-police-department-48887/#comms,https://web.archive.org/web/20190909221446/https://www.muckrock.com/foi/la-mesa-62/2018-vigilant-data-sharing-information-la-mesa-ca-police-department-48887/,Public Records,Muckrock,2/22/2018,,,,,,,,,,,,,,
CASD099,La Mesa Police Department,La Mesa,San Diego County,CA,Police,Municipal,Body-worn Cameras,,"The La Mesa Police Department began testing body-worn cameras in 2018. As of September 2019, images posted on Facebook show that officers are indeed wearing BWCs. ",https://www.facebook.com/lamesapolicedepartment/photos/a.139743763041488/976299639385892/?type=3&theater,,Social Media,Facebook ,8/19/2019,,https://www.baltimoresun.com/sd-se-lamesa-police-20180329-story.html,,,https://web.archive.org/web/20190906194131/https://www.facebook.com/lamesapolicedepartment/photos/a.139743763041488/976299639385892/?type=3&theater,,,,,,,,,
CASD041,La Mesa Police Department,La Mesa,San Diego County,CA,Police,Municipal,Ring/Neighbors,Ring,The La Mesa Police Department is able to request footage from residents' doorbell cameras through an agreement with Ring and its Neighbors app. ,https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,http://web.archive.org/web/20190820225028/https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,New Article,Voice of San Diego,7/28/2019,,,,,,,,,,,,,,
CASD063,National City Police Department,National City,San Diego County,CA,Police,Municipal,Drones,,The National City Police Department launched its drone program in 2018. ,https://fox5sandiego.com/2018/07/12/national-city-police-gain-eyes-in-the-sky-with-new-drone-program/,https://web.archive.org/web/20190905165045/https://fox5sandiego.com/2018/07/12/national-city-police-gain-eyes-in-the-sky-with-new-drone-program/,New Article,City News Service,7/12/2018,,,,,,,,,,,,,,
CASD005,Oceanside Police Department,Oceanside,San Diego County,CA,Police,Municipal,Automated License Plate Readers,,The Oceanside Police Department affixes automated license plate readers to some of its patrol vehicles. Data is retained for one year. ,https://www.ci.oceanside.ca.us/civicax/filebank/blobdload.aspx?blobid=41989 ,http://web.archive.org/web/20190820224811/https://www.ci.oceanside.ca.us/civicax/filebank/blobdload.aspx?blobid=41989,Policy/procedure document,Oceanside Police Department,,,,,,,,,,,,,,,
CASD042,Oceanside Police Department,Oceanside,San Diego County,CA,Police,Municipal,Ring/Neighbors,Ring,The Oceanside Police Department is able to request footage from residents' doorbell cameras through an agreement with Ring and its Neighbors app. ,https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,http://web.archive.org/web/20190820225028/https://www.voiceofsandiego.org/topics/public-safety/five-local-police-agencies-are-partnering-with-doorbell-surveillance-company/,New Article,Voice of San Diego,7/27/2019,,,,,,,,,,,,,,
CASD019,San Diego Association of Governments/Automated Regional Justice Information System,San Diego,San Diego County,CA,Task force/other joint agency,Cross-Jurisdictional,Automated License Plate Readers,,"The Automated Regional Justice Information System (ARJIS), which is a division San Diego Association of Governments (SANDAG), manages an automated license plate reader program. This program shares ALPR data collected by the San Diego County Sheriff's Department with agencies throughout the region. ",http://www.arjis.org/RegionalPolicies/ARJIS%20LPR%20AUP%20-%20Approved%20-%20Rev150213.pdf,http://web.archive.org/web/20190820224841/http://www.arjis.org/RegionalPolicies/ARJIS%20LPR%20AUP%20-%20Approved%20-%20Rev150213.pdf,Policy/procedure document,Automated Regional Justice Information System,2/13/2015,,,,,,,,,,,,,,
CASD011,San Diego Association of Governments/Automated Regional Justice Information System,San Diego,San Diego County,CA,Task force/other joint agency,Cross-Jurisdictional,Face Recognition,FaceFirst,"Law enforcement agencies in San Diego County use mobile face recognition technology through a program called the Tactical Identification System (TACIDS). TACIDS is managed by the Automated Regional Justice Information System (ARJIS), which is a division San Diego Association of Governments (SANDAG).",http://www.arjis.org/RegionalPolicies/ARJIS%20Facial%20Recognition%20AUP%20-%20Approved%20-%20Rev150213.pdf,http://web.archive.org/web/20190820224823/http://www.arjis.org/RegionalPolicies/ARJIS%20Facial%20Recognition%20AUP%20-%20Approved%20-%20Rev150213.pdf,Policy/procedure document,Automated Regional Justice Information System,2/13/2015,,https://www.nbcsandiego.com/investigations/Use-of-Facial-Recognition-Software-By-San-Diego-Law-Enforcement-Increasing--378006081.html ,https://www.perpetuallineup.org/jurisdiction/san-diego-association-governments ,,http://web.archive.org/web/20190820225950/https://www.nbcsandiego.com/investigations/Use-of-Facial-Recognition-Software-By-San-Diego-Law-Enforcement-Increasing--378006081.html,https://web.archive.org/web/20190909220619/https://www.perpetuallineup.org/jurisdiction/san-diego-association-governments,,,,,,,,
CASD034,San Diego County Sheriff's Department,San Diego,San Diego County,CA,Sheriff,County,Body-worn Cameras,Axon,"San Diego Sheriff's Department  had 1,348 Axon body-worn cameras as of Dec 2018.",https://www.muckrock.com/foi/san-diego-county-55/california-public-records-request-body-worn-cameras-san-diego-county-sheriffs-department-66579/#file-766346,http://web.archive.org/web/20190820224914/https://www.muckrock.com/foi/san-diego-county-55/california-public-records-request-body-worn-cameras-san-diego-county-sheriffs-department-66579/,Public Records,Aaron Swartz Day Surveillance Project,1/22/2019,,https://www.sdsheriff.net/documents/pp/pp-20160321.pdf,https://www.sandiegouniontribune.com/news/public-safety/sd-me-deputy-cameras-20170718-story.html,,https://web.archive.org/web/20190820225934/https://www.sdsheriff.net/documents/pp/pp-20160321.pdf,http://web.archive.org/web/20190820225059/https://www.sandiegouniontribune.com/news/public-safety/sd-me-deputy-cameras-20170718-story.html,,,,,,,,
