RefNo,Agency,City,County,State,LEAType,JurisdictionType,TechnologyType,Vendor,Summary,PrimaryLink,ArchivedPrimaryLink,DocumentType,Source,DocumentDate,,AdditionalLink1,AdditionalLink2,AdditionalLink3,ArchivedAdditionalLink1,AdditionalArchivedLink2,AdditionalArchivedLink3,,,,,,,
AZCOC021,U.S. Army Fort Huachuca,Fort Huachuca,Cochise County,AZ,Federal agency,Federal,Drones,,"Fort Huachuca is the largest unmanned aircraft systems training facility in the world, according to the Sierra Vista Economic Develop Department.",https://www.sierravistaaz.gov/city-departments/economic-development/growth-industries/unmanned-aircraft-systems/,http://web.archive.org/web/20190820224358/https://www.sierravistaaz.gov/city-departments/economic-development/growth-industries/unmanned-aircraft-systems/,Government Info,Sierra Vista Arizona,,,,,,,,,,,,,,,
AZCOC023,U.S. Customs and Border Protection,Fort Huachuca,Cochise County,AZ,Federal agency,Federal,Drones,General Automatics,U.S. Customs and Border Protection has operated Predator B drones out of Libby Army Airfield in For Huachuca since 2011. ,https://www.cbp.gov/sites/default/files/assets/documents/2019-Feb/air-marine-fact-sheet-uas-predator-b-2015.pdf,https://web.archive.org/web/20190909162215/https://www.cbp.gov/sites/default/files/assets/documents/2019-Feb/air-marine-fact-sheet-uas-predator-b-2015.pdf,Info on a government website,U.S. Customs and Border Protection,2015,,,,,,,,,,,,,,
AZCOC022,U.S. Customs and Border Protection,Huachuca City,Cochise County,AZ,Federal agency,Federal,Tethered Aerostat Radar System,,"U.S. Customs and Border Protection ""Tethered Aerostat Radar Systems"" (TARS) are unmanned, unarmed blimps used for surveillance. One of the six aerostats along the U.S.-Mexico border is moored near Ft. Huachuca, Arizona.",https://www.gao.gov/assets/690/682842.pdf,https://web.archive.org/web/20190906172159/https://www.gao.gov/assets/690/682842.pdf,Government Document,U.S. Government Accountability Office,2017,,https://www.cbp.gov/frontline/frontline-november-aerostats,,,https://web.archive.org/web/20190909220906/https://www.cbp.gov/frontline/frontline-november-aerostats,,,,,,,,,
AZMAR001,Arizona Department of Public Safety,Phoenix,Maricopa County ,AZ,State,Statewide,Face recognition,,"The Arizona Department of Public Safety has a ""Facial Recognition Unit"" with access to a database of 15-million mugshots. The unit assists both local and federal investigators in identifying subjects. ",http://www.azdps.gov/sites/default/files/media/Annual%20Report%202018-v5.pdf,https://web.archive.org/web/20190909215856/http://www.azdps.gov/sites/default/files/media/Annual%20Report%202018-v5.pdf,Info on a government website,Arizona Department of Public Safety,2018,,https://www.azdps.gov/organization/tsd/cjs,,,https://web.archive.org/web/20190909215647/https://www.azdps.gov/organization/tsd/cjs,,,,,,,,,
AZMAR002,Arizona Department of Transportation,Phoenix,Maricopa County ,AZ,State,Statewide,Face recognition,,The Arizona Department of Transportation applies face recognition to the state's driver license database and will respond to requests from state and federal agencies. ,https://azcapitoltimes.com/news/2019/07/08/adot-use-of-facial-recognition-strictly-limited-official-says/,https://web.archive.org/web/20190909221515/https://azcapitoltimes.com/news/2019/07/08/adot-use-of-facial-recognition-strictly-limited-official-says/,New Article,Capitol News Service,7/8/2019,,,,,,,,,,,,,,
AZPIMA010,Drug Enforcement Administration, Tohono O'odham Nation,Pima County,AZ,Federal agency,Federal,Automated License Plate Readers,,"The U.S. Drug Enforcement Administration has installed automatic license-plate readers along Interstate 19 and uses them along other highways, like Arizona 86. The DEA has also used clusters of readers along Arizona 86 and other highways on the Tohono O'odham Nation, an area frequented by smugglers. Tohono O'odham Police Chief Joseph Delgado told reporters that the devices also were being used in two places along Federal Route 15 and along Federal Route 42 in the northern part of the reservations. 
",https://tucson.com/news/local/border/license-plate-scanners-let-gov-t-track-your-travels/article_a3ee4b9c-a154-5da1-9a5f-e9f0ef490b32.html,http://web.archive.org/web/20190820224642/https://tucson.com/news/local/border/license-plate-scanners-let-gov-t-track-your-travels/article_a3ee4b9c-a154-5da1-9a5f-e9f0ef490b32.html,New Article,Arizona Daily Star,8/5/2012,,,,,,,,,,,,,,
AZPIMA023,Marana Police Department,Marana,Pima County,AZ,Police,Municipal,Automated License Plate Readers,,"The Marana Police Department received federal funds through Operation Stonegarden to purchase an automated license plate reader, along with six vehicle-mounted thermal imaging devices. ",https://www.tucsonweekly.com/tucson/border-bucks-operation-stonegarden/Content?oid=24698772,https://web.archive.org/web/20190909221354/https://www.tucsonweekly.com/tucson/border-bucks-operation-stonegarden/Content?oid=24698772,New Article,Tucson Weekly,4/4/2019,,,,,,,,,,,,,,
AZPIMA007,Marana Police Department,Marana,Pima County,AZ,Police,Municipal,Body-worn Cameras,Axon,"The Marana Police Department received 60 Axon body-worn cameras in 2016. In 2019, the agency planned to acquire 5 more units.",https://www.kgun9.com/news/local-news/marana-police-department-get-new-body-cameras,http://web.archive.org/web/20190820224639/https://www.kgun9.com/news/local-news/marana-police-department-get-new-body-cameras,New Article,KGUN 9 ,7/8/2016,,http://www.pcao.pima.gov/documents/14%20January%202018%20Memo%20to%20CHH%20and%20Bd%20of%20Sup%20re%20PCAO%202019-20%20Proposed%20Budget.pdf,,,http://web.archive.org/web/20190820225915/http://www.pcao.pima.gov/documents/14%20January%202018%20Memo%20to%20CHH%20and%20Bd%20of%20Sup%20re%20PCAO%202019-20%20Proposed%20Budget.pdf,,,,,,,,,
AZPIMA005,Oro Valley Police Department,Oro Valley,Pima County,AZ,Police,Municipal,Automated License Plate Readers,,"The Oro Valley Police Department’s policy authorizes officers to use ALPR for a wide variety of investigations, including identifying stolen or wanted vehicles, stolen license plates, missing persons, active warrants, surveillance, suspect interdiction, stolen property recovery, and for undefined “homeland security” activities. Police are also encouraged to canvass neighborhoods around crime scenes using vehicles outfitted with ALPRs. Oro Valley Police volunteers also drive cars equipped with ALPR technology. ",https://www.orovalleyaz.gov/sites/default/files/media/docs/2019/ovpd-policy-manual.pdf,http://web.archive.org/web/20190820224636/https://www.orovalleyaz.gov/sites/default/files/media/docs/2019/ovpd-policy-manual.pdf,Government policy or procedure document,Oro Valley Police Department,1/15/2019,,https://www.orovalleyaz.gov/police/police-faqs,,,http://web.archive.org/web/20190820224713/https://www.orovalleyaz.gov/police/police-faqs,,,,,,,,,
AZPIMA002,Oro Valley Police Department,Oro Valley,Pima County,AZ,Police,Municipal,Drones,DJI,"The Oro Valley Police Department purchased three DJI drones for $7,000.",https://tucson.com/news/local/oro-valley-police-second-local-law-enforcement-agency-in-area/article_fd952ff0-ea3f-5736-ba50-f31ddcd3ff60.html,http://web.archive.org/web/20190820224631/https://tucson.com/news/local/oro-valley-police-second-local-law-enforcement-agency-in-area/article_fd952ff0-ea3f-5736-ba50-f31ddcd3ff60.html,New Article,Arizona Daily Star,4/22/2018,,,,,,,,,,,,,,
