Ref,Agency,City,County,State,TypeofLEA,TypeofJuris,Technology,Vendor,Summary,Link1,Link1Source,Link1Date,Link1DateComment,Link1Type,Link2,Link2Source,Link2Date,Link2DateComment,Link2Type,Link3,Link3Source,Link3Date,Link3DateComment,Link3Type,OtherLinks
EDU163,University of California San Diego Police Department,La Jolla,San Diego County,CA,Police,University,Body-worn Cameras,,"As of 2020, all University of California, San Diego police officers use body-worn cameras.",http://police.ucsd.edu/about/force.html,"University of California, San Diego Police",2020,,Policy,"University of California, San Diego Police",z,5/18/2020,,Policy,,,,,,
EDU164,University of California San Diego Police Department,San Diego,San Diego County,CA,Police,University,Gunshot Detection,ShotSpotter,"The University of California San Diego Police Department installed ShotSpotter gunshot detection technology on campus in 2017. The initial installation cost $46,000, with a recurring annual fee of $71,000.",https://www.nbcsandiego.com/news/local/New-Technology-at-UC-San-Diego-Promises-a-Quick-Emergency-Response--430455973.html,NBC San Diego,6/23/2017,,News article,,,,,,,,,,,
EDU165,University of California San Diego Transportation Services,San Diego,San Diego County,CA,Parking Enforcement,University,Automated License Plate Readers,Park Assist,The University of California San Diego has used automated license plate readers since at least 2019 for parking enforcement. ,https://blog.parknews.biz/2019/01/the-university-of-california-san-diego-awarded-park-assist-the-parking-guidance-system-for-its-new-osler-parking-structure/,ParkNews,1/7/2019,,News article,,,,,,,,,,,
EDU166,University of California Santa Cruz Police Department,Santa Cruz,Santa Cruz County,CA,Police,University,Body-worn Cameras,,The UC Santa Cruz Police Department acquired body-worn cameras in 2017. ,https://www.cityonahillpress.com/2017/01/20/santa-cruz-county-sheriffs-move-ahead-with-body-cameras/,City on a Hill Press,1/20/2017,,News article,https://police.ucsc.edu/report/policies/body-worn-camera.html,University of California Santa Cruz Police Department,1/5/2021,,Policy,,,,,,
EDU167,"University of California, Davis Police Department",Davis,Yolo County,CA,Police,University,Social Media Monitoring,Social Sentinel,"The University of California, Davis Police Department has been using Social Sentinel social media software since at least 2016. ",https://www.chronicle.com/article/to-track-a-predator-how-the-police-identify-threats-on-social-media/,The Chronical of Higher Education,6/8/2016,,News article,,,,,,,,,,,
EDU168,"University of California, Riverside Police Department",Riverside,Riverside County,CA,Police,University,Body-worn Cameras,WatchGuard,"The University of California, Riverside Police Department began using WatchGuard body-worn cameras in 2019.",https://insideucr.ucr.edu/stories/2019/09/18/ucr-police-wear-body-cameras,Inside UCR,9/18/2019,,News article,https://www.highlandernews.org/36119/ucr-police-department-to-use-body-worn-cameras-and-in-car-video-systems/,The Highlander,10/1/2019,,News article,https://www.facebook.com/ucrpolicedept/photos/a.10155182524406822/10157123702081822,"University of California, Riverside Police Department Facebook",7/6/2020,,Social media,
EDU169,University of Central Arkansas Police Department,Conway,Faulkner County,AR,Police,University,Body-worn Cameras,,The University of Central Arkansas Police Department uses body-worn cameras. ,https://www.nwaonline.com/news/2015/oct/24/police-at-ua-to-begin-using-body-camera/,Northwest Arkansas Democrat Gazette,10/25/2015,,News article,,,,,,,,,,,
EDU170,University of Central Florida Police Department,Orlando,Orange County,FL,Police,University ,Automated License Plate Readers,,The University of Central Florida Police Department installed automated license plate readers on campus in 2019.,https://www.orlandosentinel.com/news/crime/os-ne-ucf-license-plate-scanners-on-campus-parking-20190620-pop76kgusbfrdaw6iz2our2rmm-story.html,Orlando Sentinel,6/20/2019,,News article,https://www.orlandosentinel.com/news/breaking-news/os-ne-orlando-police-license-plate-reader-20190916-7mc6soy6xvcgfpjkdd6h4ro44y-story.html,Orlando Sentinel,6/20/2019,,News article,,,,,,
EDU171,University of Central Florida Police Department,Orlando,Orange County,FL,Police,University,Body-worn Cameras,Axon,The University of Central Florida Police Department uses Axon body-worn cameras. ,http://www.nicholsonstudentmedia.com/news/ucfpd-chief-implements-new-technology-to-increase-transparency-safety/article_7c06f896-b53f-11e8-a7e9-0b35f3df7322.html,Nicholson Student Media,11/5/2018,,News article,https://knightnews.com/2019/07/body-cam-police-records-tell-a-new-story/,Knightnews.com,7/30/2019,,News article,,,,,,
EDU172,University of Central Florida Police Department,Orlando,Orange County,FL,Police,University,Face Recognition,Idemia,"The University of Central Florida Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ",https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html,Orlando Sentinel,7/12/2019,,News article,https://www.perpetuallineup.org/jurisdiction/florida,Center on Privacy & Technology at Georgetown Law,10/18/2016,,Academic Report,https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p237,Pinellas County Sheriff's Office,2015,,Public records,
