Ref,Agency,City,County,State,TypeofLEA,TypeofJuris,Technology,Vendor,Summary,Link1,Link1Source,Link1Date,Link1DateComment,Link1Type,Link2,Link2Source,Link2Date,Link2DateComment,Link2Type,Link3,Link3Source,Link3Date,Link3DateComment,Link3Type,OtherLinks
EDU206,University of New Hampshire Police Department,Durham,Durham County,NC,Police,University ,Body-worn Cameras,Axon,The University of New Hampshire Police Department uses Axon body-worn cameras.,https://www.policemag.com/545451/2-new-hampshire-departments-to-adopt-body-cameras,PoliceMag,3/5/2020,,News article,https://www.facebook.com/UNHPolice/photos/3120722721355245,UNH Police Facebook page,7/7/2020,,Social media,,,,,,
EDU207,University of North Alabama Police Department,Florence,Lauderdale County,AL,Police,University,Body-worn Cameras,,"The U.S. Department of Justice awarded $5,707 to the University of North Alabama Police Department in 2016 as part of the Bureau of Justice Assistance's body-worn camera grant program.",https://www.documentcloud.org/documents/6573652-2016-BWCPIP-Factsheet-2016-Final.html,U.S Department of Justice,2016,,Government information,,,,,,,,,,,"https://www.una.edu/studentaffairs/SA%20Division%20Annual%20Report%202016-2017%20web_2017.pdf 
https://www.una.edu/studentaffairs/Student%20Affairs%202017-18.pdf
https://www.slcatlanta.org/Publications/HSPS/Body-WornCameras.pdf"
EDU208,"University of North Carolina, Chapel Hill Police Department",Chapel Hill,Orange County,NC,Police,University,Social Media Monitoring,Social Sentinel,"The University of North Carolina, Chapel Hill Police Department signed a three year $73,500 contract with Social Sentinel social media monitoring in 2016. ",https://www.nbcnews.com/news/education/unc-campus-police-used-geofencing-tech-monitor-antiracism-protestors-n1105746,NBC News,12/21/2019,,News article,,,,,,,,,,,
EDU209,University of North Dakota Police Department,Grand Forks,Grand Forks County,ND,Police,University,Body-worn Cameras,,The University of North Dakota Police Department began using body-worn cameras in 2014.,https://www.prairiebusinessmagazine.com/news/education/3971414-cameras-new-officers-among-measures-bolster-und-security,Prairie Business Magazine,8/26/2014,,News article,,,,,,,,,,,
EDU210,University of North Dakota Police Department,Grand Forks,Grand Forks County,ND,Police,University,Drones,DJI,The University of North Dakota Police Department began using drones in 2012 through the Northeast Region UAS Unit.,https://universitybusiness.com/how-drones-are-raising-the-bar-on-campus-safety,University Business,8/15/2019,,News article,https://unmanned-aerial.com/north-dakota-police-unit-switching-reactive-proactive-uas-deployment,Unmanned Aerial Online,2/28/2018,,News article,,,,,,
EDU211,University of North Florida Police Department,Jacksonville,Duval County,FL,Police,University,Body-worn Cameras,Axon,"The University of North Florida Police Department began using body-worn cameras in 2015. In 2018, it received a U.S. Department of Justice grant to further expand the program. ",https://unfspinnaker.com/64405/news/funding-for-new-body-cameras-for-unf-police/,Spinnaker,1/16/2018,,News article,,,,,,,,,,,
EDU212,University of North Florida Police Department,Jacksonville,Duval County,FL,Police,University,Face Recognition,Idemia,"The University of North Florida Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ",https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html,Orlando Sentinel,7/12/2019,,News article,https://www.perpetuallineup.org/jurisdiction/florida,Center on Privacy & Technology at Georgetown Law,10/18/2016,,Academic Report,https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p240,Pinellas County Sheriff's Office,2015,,Public records,
EDU213,University of North Texas Police Department,Denton,Denton County,TX,Police,University,Body-worn Cameras,,"The University of North Texas, Denton Police Department had body-worn cameras as recently as October 2018. ",https://dentonrc.com/news/unt-police-release-footage-in-arrest-of-black-man/article_9f793c6a-5a67-501d-bb3b-6820b965d678.html,Denton Record Chronicles,6/3/2020,,News article,https://www.facebook.com/UNTPolice/photos/a.309296212451487/1897627846951641,UNT Denton Police Department Facebook,10/26/2020,,Social media,,,,,,
EDU214,University of North Texas System Police Department,Denton,Denton County,TX,Police,University,Social Media Monitoring,Social Sentinel,The University of North Texas System Police Department has been using Social Sentinel social media monitoring software since 2015. ,https://cdn.muckrock.com/foia_files/2020/10/30/Social_Sentinel_PO_128077_-_HSC_Police_00372041xC146B.PDF,University of North Texas System,3/24/2016,,Public Records,https://cdn.muckrock.com/foia_files/2020/10/30/Social_Sentinel_Services_Agreement_00372043xC146B.PDF,University of North Texas System,11/30/2015,,Public Records,https://cdn.muckrock.com/foia_files/2020/10/30/Social_Sentinel_PO_184626_-_UNT_Police_00372042xC146B.PDF,University of North Texas System,9/1/2016,,Public Records,https://www.muckrock.com/foi/austin-139/social-sentinel-102792/#file-915620
EDU215,University of Oregon Police Department,Eugene,Lane County,OR,Police,University,Body-worn Cameras,Axon,The University or Oregon Police Department obtained body-worn cameras in 2015.,https://www.dailyemerald.com/archives/uopd-attempting-to-equip-all-officers-with-body-cameras/article_29f771d2-742e-5a23-82a9-d7ecff5227ce.html,The Daily Emerald ,11/2/2015,,News article,,,,,,,,,,,
EDU216,University of Oregon Police Department,Eugene,Lane County,OR,Police,University,Social Media Monitoring,Social Sentinel,The University of Oregon Police Department began using Social Sentinel social media monitoring in 2018. ,https://cpb-us-e1.wpmucdn.com/blogs.uoregon.edu/dist/7/14744/files/2018/10/Campus-Engagement-Report-v3.3-1069pif.pdf,University of Oregon,18-Oct,,University website,,,,,,,,,,,
EDU217,University of Soth Carolina – Beaufort Police Department,Beaufort,Beaufort County,SC,Police,University,Body-worn Cameras,,"The University of Soth Carolina – Beaufort Police Department purchased body-worn cameras in 2016 with a $8,691 grant through the South Carolina Department of Public Safety.",https://www.berkeleyobserver.com/2016/08/07/berkeley-county-law-enforcement-agencies-receive-grants-body-worn-cameras/,The Berkeley Observer,8/7/2016,,News article,,,,,,,,,,,
EDU218,University of South Carolina – Aiken Police Department,Aiken,Aiken County,SC,Police,University,Body-worn Cameras,,"The University of South Carolina – Aiken purchased body-worn cameras in 2016 with a $20,795 grant through the South Carolina Department of Public Safety.",https://www.berkeleyobserver.com/2016/08/07/berkeley-county-law-enforcement-agencies-receive-grants-body-worn-cameras/,The Berkeley Observer,8/7/2016,,News article,,,,,,,,,,,
EDU219,University of South Carolina Division of Law Enforcement,Columbia,Richland County,SC,Police,University,Body-worn Cameras,,"The University of South Carolina Division of Law Enforcement purchased body-worn cameras in 2016 with a $33,300 grant through the South Carolina Department of Public Safety.",https://www.berkeleyobserver.com/2016/08/07/berkeley-county-law-enforcement-agencies-receive-grants-body-worn-cameras/,The Berkeley Observer,8/7/2016,,News article,,,,,,,,,,,
EDU220,University of South Carolina Upstate Department of Public Safety,Spartanburg,Spartanburg County,SC,Police,University,Body-worn Cameras,,"The University of South Carolina Upstate Department of Public Safety purchased body-worn cameras in 2016 with a $12,177 grant through the South Carolina Department of Public Safety.",https://www.berkeleyobserver.com/2016/08/07/berkeley-county-law-enforcement-agencies-receive-grants-body-worn-cameras/,The Berkeley Observer,8/7/2016,,News article,,,,,,,,,,,
EDU221,University of South Florida Police Department,Tampa,Hillsborough County,FL,Police,University,Face Recognition,Idemia,"The University of South Florida Police Department is one of more than 275 law enforcement agencies with access to the Face Analysis Comparison & Examination System (FACES), a face recognition program maintained by the Pinellas County Sheriff's Office. Investigators may upload an image to search more than 25-million Florida driver's license photos and mugshots. ",https://www.orlandosentinel.com/politics/os-ne-ice-fbi-facial-recognition-florida-drivers-license-database-20190712-xs6acoda5zgy5nqsi6yqd2tgwi-story.html,Orlando Sentinel,7/12/2019,,News article,https://www.perpetuallineup.org/jurisdiction/florida,Center on Privacy & Technology at Georgetown Law,10/18/2016,,Academic Report,https://www.documentcloud.org/documents/7273534-Authorized-FACES-Agencies-p14-Spreadsheet.html#document/p241,Pinellas County Sheriff's Office,2015,,Public records,
EDU222,University of Southern California Department of Public Safety,Los Angeles,Los Angeles County,CA,Police,University,Automated License Plate Readers,,The University of Southern California Department of Public Safety has used automated license plate readers since at least 2012. ,https://managers.usc.edu/files/2020/04/147053-Surveillance-Operations-Manager.pdf,USC,4/1/2020,,Job posting,https://news.usc.edu/33116/a-letter-to-the-usc-community/,USC,4/11/2012,,University information,https://www.eff.org/deeplinks/2015/10/license-plate-readers-exposed-how-public-safety-agencies-responded-massive,Electronic Frontier Foundation,8/28/2015,,,
EDU223,University of Southern California Department of Public Safety,Los Angeles,Los Angeles County,CA,Police,University,Face Recognition,,The University of Southern California confirmed the use of facial recognition technology on campus to The College Fix. ,https://www.thecollegefix.com/colleges-deny-using-facial-recognition-technology-after-high-profile-academics-shame-them/,The College FIx,3/25/2020,,News article,,,,,,,,,,,
EDU224,University of Southern Mississippi's Parking Enforcement,Hattiesburg,Forrest County,MS,Parking Enforcement,University,Automated License Plate Readers,,The University of Southern Mississippi's Parking Enforcement department uses automated license plate readers.,https://www.wdam.com/story/34563725/on-your-side-investigation-are-you-being-tracked/,WDAM 7,2/22/2017,,News article,,,,,,,,,,,
EDU225,University of Tennesse Chattanooga Police Department,Chattanooga,Hamilton County,TN,Police,University,Body-worn Cameras,,The University of Tennessee Chattanooga Police Department began using Axon body-worn cameras in 2018. ,https://blog.utc.edu/news/2018/09/campus-police-incorporate-body-cameras/,UTC News Releases,9/28/2018,,University information,https://www.wrcbtv.com/story/39233725/utc-officers-now-equipped-with-body-cameras,WRCB,10/4/2018,,News article,,,,,,
EDU226,University of Tennessee Police Department,Knoxville,Knox County,TN,Police,University,Body-worn Cameras,Axon,The University of Tennessee Police Department uses Axon body-worn cameras. ,https://utpolice.utk.edu/2020/07/16/utpd-chief-receives-statewide-honor-for-law-enforcement-excellence/,UT Knoxville,7/16/2020,,Press release,https://www.facebook.com/photo.php?fbid=10157944393413220&id=105034298219&set=a.170672858219&source=54&ref=page_internal,University of Tennessee Police Facebook,8/16/2020,,Social media,,,,,,
EDU227,University of Texas at Arlington Parking and Transportation Services,Arlington,Tarrant County,TX,Parking Enforcement,University ,Automated License Plate Readers,,The University of Texas at Arlington Parking and Transportation Services uses automated license plate readers for parking enforcement. ,https://www.uta.edu/pats/news/2015/mavpark-is-here.php,University of Texas at Arlington Parking and Transportation Services,8/5/2015,,University information,,,,,,,,,,,
EDU228,University of Texas at Dallas Police Department,Richardson,Dallas County and Collin County,TX,Police,University,Social Media Monitoring,Social Sentinel,The University of Texas at Dallas Police Department has been using Social Sentinel social media monitoring since at least 2016. ,https://www.documentcloud.org/documents/7220665-UT-DallasSep16TR.html#document/p94/a583610 ,University of Texas at Dallas,16-Sep,,University website,https://www.documentcloud.org/documents/7220664-UT-Dallas-Aug18TR.html#document/p172/a583607,University of Texas at Dallas,18-Aug,,Public records,,,,,,
EDU229,University of Texas at San Antonio Police Department ,San Antonio,Bexar County,TX,Police,University,Body-worn Cameras,,The UTSA Police Department uses body-worn cameras. ,https://www.facebook.com/UTSAPoliceDepartment/photos/2970932762929955,UTSA Police Facebook page,4/13/2020,,Social media,,,,,,,,,,,
EDU230,University of Texas Austin Police Department,Austin,Travis County,TX,Police,University,Body-worn Cameras,Axon,The University of Texas Austin Police Department purchased about 80 Axon body-worn cameras in 2017. ,https://www.insidehighered.com/news/2017/05/12/campus-police-forces-start-adopt-body-cameras,Inside Higher Ed,5/12/2017,,News article,https://news.utexas.edu/2017/04/13/ut-austin-police-officers-begin-to-wear-body-cameras/,UT News,4/13/2017,,University information,https://www.facebook.com/utaustinpolice/photos/a.577883605583003/2773952355976106,UT Austin Police Facebook page,1/25/2020,,Social media,
EDU231,University of Texas System Police - Health Science Center San Antonio,San Antonio,Bexar County,TX,Police,University,Body-worn Cameras,,The University of Texas System Police at the Health Science Center San Antonio purchased body-worn Cameras in 2013.,https://www.uthscsa.edu/sites/default/files/police/AnnualReport.pdf,University of Texas Health Science Center at San Antonio,2013,,Annual report,,,,,,,,,,,
EDU232,University of Virginia Police Department,Charlottesville ,Albemarle County,VA,Police,University,Body-worn Cameras,,The University of Virginia Police Department began using body-worn cameras in 2015. ,https://www.c-ville.com/spy-changes-local-police-surveillance/,C-Ville,10/12/2016,,News article,,,,,,,,,,,
EDU233,University of Virginia Police Department,Charlottesville,,VA,Police,University,Social Media Monitoring,Social Sentinel,The University of Virginia Police Department has been using Social Sentinel social media monitoring since at least 2018. ,https://dailyprogress.com/news/uva-spent-422k-on-aug-12-anniversary-preparations/article_0d8649b2-c1c9-11e8-908e-37e79c3a7370.html,Daily Progress,9/26/2018,,News article,https://reason.com/2018/03/22/uva-monitors-its-students-social-media/,Reason,3/22/2018,,News article,,,,,,
EDU234,University of West Georgia Police Department,Carrollton,Carroll County,GA,Police,University,Gunshot Detection,ShotSpotter,The University of West Georgia Police Department began using ShotSpotter gunshot detection technology in 2018. ,https://www.westga.edu/news/around-uwg/shotspotter.php,UWG News,9/28/2018,,University information,,,,,,,,,,,
EDU235,University of West Georgia Police Department,Carrollton,Carroll County,GA,Police,University,Social Media Monitoring,Social Sentinel,The University of West Georgia Police Department have been using Social Sentinel social media monitoring since at least 2018. ,https://www.muckrock.com/foi/georgia-230/social-sentinel-102788/,University of West Georgia,6/14/2018,,Public Records,,,,,,,,,,,
EDU236,University of Wisconsin-Eau Claire Police Department,Eau Claire,Eau Claire County,WI,Police,University,Body-worn Cameras,,"All officers in the University of Wisconsin-Eau Claire Police Department wear body-worn cameras, according to a 2020 Wisconsin Department of Justice survey.",https://www.doj.state.wi.us/sites/default/files/news-media/1.21.21_BodyCam_AgencyResponses.pdf,Wisconsin Department of Justice,2020,,Annual report,,,,,,,,,,,
EDU237,University of Wisconsin-Green Bay Police Department,Green Bay,Brown County,WI,Police,University ,Automated License Plate Readers,,"The University of Wisconsin, Green Bay Police Department has used mobile automated license plate readers since 2015.",https://www.businesswire.com/news/home/20150219005083/en/University-Wisconsin-Green-Bay-Mobile-License-Plate,Business Wire,2/19/2015,,News article,,,,,,,,,,,
EDU238,University of Wisconsin-Green Bay Police Department,Green Bay,Brown County,WI,Police,University,Body-worn Cameras,,"All officers in the University of Wisconsin-Green Bay Police Department wear body-worn cameras, according to a 2020 Wisconsin Department of Justice survey.",https://www.doj.state.wi.us/sites/default/files/news-media/1.21.21_BodyCam_AgencyResponses.pdf,Wisconsin Department of Justice,2020,,Annual report,,,,,,,,,,,
EDU239,University of Wisconsin-La Crosse Parking Services,La Crosse,La Crosse County,WI,Parking Enforcement,University ,Automated License Plate Readers,,The University of Wisconsin LaCross Parking Services office uses automated license plate readers for parking enforcement.,https://www.baycominc.com/university-solutions-license-plate-readers-debunk-parking-capacity-myth-generate-revenue-enhance-safety/,BayCom,,,Vendor information,,,,,,,,,,,
EDU240,University of Wisconsin-La Crosse Police Department,La Crosse,La Crosse County,WI,Police,University,Body-worn Cameras,,"All officers in the University of Wisconsin-La Crosse Police Department wear body-worn cameras, according to a 2020 Wisconsin Department of Justice survey.",https://www.doj.state.wi.us/sites/default/files/news-media/1.21.21_BodyCam_AgencyResponses.pdf,Wisconsin Department of Justice,2020,,Annual report,,,,,,,,,,,
EDU241,University of Wisconsin-Madison Police Department,Madison,Dane County,WI,Police,University,Body-worn Cameras,L3 Communications,The University of Wisconsin-Madison Police Department began using L3 body-worn cameras in 2015.,https://www.govtech.com/education/higher-ed/Entire-UW-Madison-Police-Fleet-Equipped-with-Body-Cameras.html,Wisconsin State Journal,11/3/2015,,News article,"https://uwpd.wisc.edu/crime-data/body-worn-cameras/#:~:text=UW%2DMadison%20Police%20Department%20officers,or%20complaints%20that%20need%20investigation.",UW-Madison PD,11/3/2015,,University information,https://uwpd.wisc.edu/content/uploads/2015/08/41.3-Patrol-Equipment-12.12.pdf,UW-Madison PD,11/19/2019,,Policy,
EDU242,University of Wisconsin-Milwaukee Police Department,Milwaukee,Milwaukee County,WI,Police,University,Body-worn Cameras,,"All officers in the University of Wisconsin-Milwaukee Police Department wear body-worn cameras, according to a 2020 Wisconsin Department of Justice survey.",https://www.doj.state.wi.us/sites/default/files/news-media/1.21.21_BodyCam_AgencyResponses.pdf,Wisconsin Department of Justice,2020,,Annual report,,,,,,,,,,,
EDU243,University of Wisconsin-Parkside Police Department,Kenosha,Kenosha County,WI,Police,University,Body-worn Cameras,,"All officers in the University of Wisconsin-Parkside Police Department wear body-worn cameras, according to a 2020 Wisconsin Department of Justice survey.",https://www.doj.state.wi.us/sites/default/files/news-media/1.21.21_BodyCam_AgencyResponses.pdf,Wisconsin Department of Justice,2020,,Annual report,,,,,,,,,,,
EDU244,University of Wisconsin-Platteville Police Department,Platteville,Grant County,WI,Police,University,Body-worn Cameras,,"Some officers in the University of Wisconsin-Platteville Police Department wear body-worn cameras, according to a 2020 Wisconsin Department of Justice survey.",https://www.doj.state.wi.us/sites/default/files/news-media/1.21.21_BodyCam_AgencyResponses.pdf,Wisconsin Department of Justice,2020,,Annual report,,,,,,,,,,,
EDU245,University of Wisconsin-Stout Police Department,Menomonie,Dunn County,WI,Police,University,Body-worn Cameras,,"All officers in the University of Wisconsin-Stout Police Department wear body-worn cameras, according to a 2020 Wisconsin Department of Justice survey.",https://www.doj.state.wi.us/sites/default/files/news-media/1.21.21_BodyCam_AgencyResponses.pdf,Wisconsin Department of Justice,2020,,Annual report,,,,,,,,,,,
EDU246,University of Wisconsin-Whitewater Police Department,Whitewater,Walworth County,WI,Police,University,Body-worn Cameras,,"All officers in the University of Wisconsin-Whitewater Police Department wear body-worn cameras, according to a 2020 Wisconsin Department of Justice survey.",https://www.doj.state.wi.us/sites/default/files/news-media/1.21.21_BodyCam_AgencyResponses.pdf,Wisconsin Department of Justice,2020,,Annual report,,,,,,,,,,,
EDU247,University of Wyoming Police Department,Laramie,Albany County,WY,Police,University,Body-worn Cameras,,The University of Wyoming Police Department uses body-worn cameras. ,http://www.uwbrandingiron.com/2020/07/21/auto-draft-2/,Branding Iron,7/21/2020,,News article,http://www.uwyo.edu/trustees/_files/docs/2016_meeting_materials/2016_january_20-22_board_of_trustees_board_report_1-16-16%201029%20am%20sms.pdf,University of Wyoming Staff Senate,1/22/2016,,Meeting documents,http://www.uwyo.edu/trustees/_files/docs/2015-board-meeting-materials/2015_november_board_of_trustees_regular_meeting_report-final.pdf,The University of Wyoming Board of Trustees,11/20/2015,,Meeting documents,
EDU248,University Park Police Department,University Park,Prince George's County,MD,Police,University,Body-worn Cameras,Axon,The University Park Police Department began using Axon body-worn cameras in February 2020. ,https://www.upmd.org/Blog.aspx?IID=44,University Park,2/12/2020,,Government information,,,,,,,,,,,
EDU249,"Universty of Californa, Davis Police Department",Davis,Yolo County,CA,Police,University,Body-worn Cameras,,"The University of California, Davis Police Department has been using body-worn cameras since 2018. ",https://www.facebook.com/UCDavisPoliceDepartment/photos/3244179775649425,UC Davis Police Department Facebook,5/15/2020,,News article,https://police.ucdavis.edu/sites/g/files/dgvnsk3476/files/inline-files/UC%20Davis%20Police%20Department%20Policy%20Manual_0.pdf,UC Davis Police Department Manual ,8/8/2018,,Policy ,,,,,,
EDU250,Virginia Commonwealth University Parking and Transportation,Richmond,Richmond (city) County,VA,Parking Enforcement,University ,Automated License Plate Readers,,Virginia Commonwealth University Parking and Transportation planned to implement automated license plate reader technology in 2020. ,https://blogs.vcu.edu/parkingtransportation/2020/05/08/fy2020-21-parking-permit-fee-increase-faqs/,Virginia Commonwealth University Parking and Transportation,5/8/2020,,University information,,,,,,,,,,,
EDU251,Virginia Commonwealth University Police Department,Richmond,Richmond County,VA,Police,University,Body-worn Cameras,,The Virginia Commonwealth University Police Department began using body-worn cameras in 2015. ,https://acluva.org/sites/default/files/wp-content/uploads/2015/09/2015VirginiaCommonwealthUniversityPDPolicy.pdf,Virginia Commonwealth University Police Department,4/20/2015,,Policy,https://richmond.com/news/local/government-politics/vcu-to-drop-sats-for-some-applicants-police-to-use/article_e711a1d1-37a9-5ecb-922d-29d8994474b8.html,Richmond Times-Dispatch,1/28/2015,,News article,,,,,,
